	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
fee96b15c8776fa2261f95c287c6d472	0	0	0	0	0	0	0	0	38
023bc360f0f48b25606190b1ebca5fa3	0	0	105	0	0	0	10	12	2
387a25b09a6471722afd0ea61206447f	30	96	0	0	10	0	0	0	43
2c9bb3779d44e697f40fdb70a7034d6a	0	0	16	0	19	0	608	431	346
8a45e0b7d52715cbb937eaa0aaebd098	0	10	21	0	0	0	0	0	0
a6c9466d1c2f2791da01b1a3ed7eb2b7	0	0	0	0	0	0	0	0	6
35c993e68935e76dee929efb18462671	0	0	0	0	0	0	0	0	5
f635a66b208e94200b02dabb643f0e0b	0	0	0	0	74	19	310	259	69
6b0bd2020c2dd5c4ef8c733c9f81be1c	0	0	25	0	0	0	0	0	0
37693fc4da7177d96a9cd741d266f179	0	0	0	0	360	72	24281	19505	18361
77a7828ec228150e049f8281f739eeec	0	0	0	0	0	0	0	0	41
5014bbc763e99bf874e2041a66e4ccaa	0	11	0	0	0	0	0	0	0
4cc4baa7a4f25b9b6a72aa0a9dd41a68	0	0	35	0	0	0	0	0	0
bc68f3488fa9d625af38851ba8f51ebd	0	0	0	0	0	0	302	240	107
b5aa69734e3ea9fe7bc1ceeda46307c5	0	0	35	0	0	0	0	3	5
3e8704e0d0aa3d463ccb549a882d9d99	0	12	0	0	0	0	0	0	0
373d63f1aef91b8dd127d0a57d6d231d	182	301	147	0	50	0	12	49	246
3508429a57d12c4c2fadb39ef3267223	111	83	57	0	0	0	0	15	0
cd6333bf7e6401ffc0f87a239dd8935f	11	0	0	0	0	0	0	0	0
6a5513b494d307e1c4276ff4a6da1d8b	81	13	88	0	0	0	0	0	0
284fdf2bd0470394cb34f8b7e7c0ac91	0	0	91	0	0	0	0	0	0
109a82095490d1e67a023e473591d872	0	0	0	0	16	0	789	552	585
a8adcc17ca6998eb77222f953b625846	0	0	0	0	0	0	13	21	0
03194df1d290a60da9ebbafb22029479	0	0	0	0	0	0	19	9	0
cc6033ab364ae2a9ea0f956815009914	0	0	0	0	10	0	9	0	52
